Company,Group,Change
HB Stockholding,B,+  20.00
Oriental Carbon,B,+  20.00
Somany Ceramics Ltd.,B,+  20.00
Hybrid Financial Ser,B,+  19.99
GOCL Corporation,B,+  19.99
Indef Manufacturing,B,+  19.99
Creative Eye,B,+  19.93
Motisons Jewellers,B,+  16.31
Orient Bell,B,+  15.03
OCCL Ltd.,B,+  14.87
AVG Logistics,B,+  13.64
TVS Electronics,B,+  12.07
Maithan Alloys Ltd.,B,+  11.66
Balu Forge Industrie,B,+  11.54
Digicontent,B,+  10.50
Selan Exploratio,B,+  10.15
Nila Spaces L,B,+   9.97
Meera Industries,B,+   9.94
Roto Pumps Ltd,B,+   9.94
Infomedia Press,B,+   9.93
Regency Ceramics,B,+   9.87
Malu Paper Mills,B,+   9.80
GACM Technologies,B,+   9.80
BEML Land Assets,B,+   9.80
Onward Technolog,B,+   9.77
Williamson Magor,B,+   9.48
D-Link (India),B,+   9.28
R Systems Internat.,B,+   8.98
Hercules Hoists,B,+   8.78
N R Agarwal Indu,B,+   8.61
Krebs Biochemicals &,B,+   8.52
SPML Infra,B,+   8.43
Kokuyo Camlin,B,+   8.40
Quadrant Future Tek,B,+   8.24
Baid Finserv,B,+   8.11
Coastal Corporation,B,+   7.89
Themis Medicare Ltd.,B,+   7.75
Pil Italica Lifestyl,B,+   7.72
Urja Global,B,+   7.69
Arman Financial Serv,B,+   7.68
Skipper Ltd.,B,+   7.66
Superhouse,B,+   7.24
JTL Industries,B,+   7.14
HLV L,B,+   7.08
Shakti Pumps (In,B,+   7.07
ADF Foods Ltd.,B,+   7.07
SJS Enterprises,B,+   7.06